"Attributes","Attribute Type","Required"
"AuditOwner","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"DefaultAuditSet","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"WhenMailboxCreated","System.DateTime","NO"
"SourceAnchor","System.String","NO"
"UsageLocation","System.String","NO"
"IsSoftDeletedByRemove","System.Boolean","NO"
"IsSoftDeletedByDisable","System.Boolean","NO"
"IsInactiveMailbox","System.Boolean","NO"
"IncludeInGarbageCollection","System.Boolean","NO"
"WhenSoftDeleted","System.Object","NO"
"InPlaceHolds","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"GeneratedOfflineAddressBooks","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AccountDisabled","System.Boolean","NO"
"StsRefreshTokensValidFrom","System.DateTime","NO"
"NOnCompliantDevices","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"DataEncryptionPolicy","System.Object","NO"
"Extensions","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"HasPicture","System.Boolean","NO"
"HasSpokenName","System.Boolean","NO"
"IsDirSynced","System.Boolean","NO"
"AcceptMessagesOnlyFrom","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AcceptMessagesOnlyFromDLMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AcceptMessagesOnlyFromSendersOrMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AddressListMembership","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AdministrativeUnits","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"Alias","System.String","NO"
"ArbitrationMailbox","System.Object","NO"
"BypassModerationFromSendersOrMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"OrganizationalUnit","System.String","NO"
"CustomAttribute1","System.String","NO"
"CustomAttribute10","System.String","NO"
"CustomAttribute11","System.String","NO"
"CustomAttribute12","System.String","NO"
"CustomAttribute13","System.String","NO"
"CustomAttribute14","System.String","NO"
"CustomAttribute15","System.String","NO"
"CustomAttribute2","System.String","NO"
"CustomAttribute3","System.String","NO"
"CustomAttribute4","System.String","NO"
"CustomAttribute5","System.String","NO"
"CustomAttribute6","System.String","NO"
"CustomAttribute7","System.String","NO"
"CustomAttribute8","System.String","NO"
"CustomAttribute9","System.String","NO"
"ExtensionCustomAttribute1","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ExtensionCustomAttribute2","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ExtensionCustomAttribute3","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ExtensionCustomAttribute4","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ExtensionCustomAttribute5","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"DisplayName","System.String","NO"
"EmailAddresses","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"GrantSendOnBehalfTo","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"HiddenFromAddressListsEnabled","System.Boolean","NO"
"LastExchangeChangedTime","System.Object","NO"
"LegacyExchangeDN","System.String","NO"
"MaxSendSize","System.String","NO"
"MaxReceiveSize","System.String","NO"
"ModeratedBy","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ModerationEnabled","System.Boolean","NO"
"PoliciesIncluded","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"PoliciesExcluded","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"EmailAddressPolicyEnabled","System.Boolean","NO"
"PrimarySmtpAddress","System.String","NO"
"RecipientType","System.String","NO"
"RecipientTypeDetails","System.String","NO"
"RejectMessagesFrom","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"RejectMessagesFromDLMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"RejectMessagesFromSendersOrMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"RequireSenderAuthenticationEnabled","System.Boolean","NO"
"SimpleDisplayName","System.String","NO"
"SendModerationNOtifications","System.String","NO"
"UMDtmfMap","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"WindowsEmailAddress","System.String","NO"
"MailTip","System.Object","NO"
"MailTipTranslations","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"Identity","System.String","NO"
"Id","System.String","NO"
"ExchangeVersion","System.String","NO"
"Name","System.String","NO"
"DistinguishedName","System.String","NO"
"ObjectCategory","System.String","NO"
"ObjectClass","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"WhenChanged","System.DateTime","NO"
"WhenCreated","System.DateTime","NO"
"WhenChangedUTC","System.DateTime","NO"
"WhenCreatedUTC","System.DateTime","NO"
"ExchangeObjectId","System.Guid","NO"
"OrganizationId","System.String","NO"
"Guid","System.Guid","NO"
